Time,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18
2026-06-30 15:39:27.766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5124,0,0,0,1441,0,8614,39,0,0,4444,0,0,0,755,0
2026-06-30 15:39:27.773,0,0,6888,0,0,0,2254,0,0,0,0,0,3702,0,0,0,0,0,0,0,5124,0,0,0,1441,0,8614,39,0,0,4444,0,0,0,755,0
2026-06-30 15:39:27.876,0,0,6895,0,0,0,2238,0,0,0,0,0,3687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-30 15:39:27.889,0,0,6895,0,0,0,2238,0,0,0,0,0,3687,0,0,0,0,0,0,0,5194,0,0,0,1445,0,8659,40,0,0,4418,0,0,0,721,0
2026-06-30 15:39:27.987,0,0,6889,0,0,0,2196,0,0,0,0,0,3646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-30 15:39:27.999,0,0,6889,0,0,0,2196,0,0,0,0,0,3646,0,0,0,0,0,0,0,5262,0,0,0,1400,0,8756,0,0,0,4349,0,0,0,672,0
2026-06-30 15:39:28.002,0,0,6870,0,0,0,2193,0,0,0,0,0,3647,0,0,0,0,0,0,0,5303,0,0,0,1390,0,8793,0,0,0,4305,0,0,0,647,0
2026-06-30 15:39:28.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5330,0,0,0,1379,0,8811,0,0,0,4308,0,0,0,646,0
2026-06-30 15:39:28.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5347,0,0,0,1394,0,8807,0,0,0,4292,0,0,0,647,0
2026-06-30 15:39:28.206,0,0,6879,0,0,0,2185,0,0,0,0,0,3661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-30 15:39:28.215,0,0,6879,0,0,0,2185,0,0,0,0,0,3661,0,0,0,0,0,0,0,5308,0,0,0,1417,0,8776,0,0,0,4317,0,0,0,649,0
2026-06-30 15:39:28.311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5273,0,0,0,1467,0,8742,0,0,0,4364,0,0,0,708,0
2026-06-30 15:39:28.319,0,0,6860,0,0,0,2195,0,0,0,0,0,3672,0,0,0,0,0,0,0,5273,0,0,0,1467,0,8742,0,0,0,4364,0,0,0,708,0
2026-06-30 15:39:28.416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5276,0,0,0,1481,0,8740,15,0,0,4412,0,0,0,757,0
2026-06-30 15:39:28.419,0,0,6782,0,0,0,2208,0,0,0,0,0,3701,0,0,0,0,0,0,0,5276,0,0,0,1481,0,8740,15,0,0,4412,0,0,0,757,0
2026-06-30 15:39:28.420,0,0,6782,0,0,0,2208,0,0,0,0,0,3701,0,0,0,0,0,0,0,5276,0,0,0,1468,0,8747,17,0,0,4430,0,0,0,780,0
2026-06-30 15:39:28.520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5254,0,0,0,1494,0,8744,43,0,0,4442,0,0,0,781,0
2026-06-30 15:39:28.523,0,0,6782,0,0,0,2208,0,0,0,0,0,3719,0,0,0,0,0,0,0,5254,0,0,0,1494,0,8744,43,0,0,4442,0,0,0,781,0
2026-06-30 15:39:28.525,0,0,6782,0,0,0,2208,0,0,0,0,0,3719,0,0,0,0,0,0,0,5256,0,0,0,1507,0,8726,43,0,0,4439,0,0,0,807,0
2026-06-30 15:39:28.626,0,0,6801,0,0,0,2224,0,0,0,0,0,3719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-30 15:39:28.633,0,0,6801,0,0,0,2224,0,0,0,0,0,3719,0,0,0,0,0,0,0,5293,0,0,0,1520,0,8751,59,0,0,4460,0,0,0,817,0
2026-06-30 15:39:28.731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5281,0,0,0,1507,0,8737,45,0,0,4460,0,0,0,795,0
2026-06-30 15:39:28.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5266,0,0,0,1518,0,8734,44,0,0,4471,0,0,0,757,0
