Timestamp,IMU1_Roll,IMU1_Pitch,IMU1_Yaw,IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyroX,IMU1_GyroY,IMU1_GyroZ,IMU2_Roll,IMU2_Pitch,IMU2_Yaw,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyroX,IMU2_GyroY,IMU2_GyroZ
1782855269.5826936,1.52,1.16,-67.6,-0.19,0.26,9.77,0.08,0.34,0.1,-0.51,-0.35,-48.15,0.06,-0.08,9.8,0.1,-0.17,-0.13
1782855269.6569262,1.52,1.16,-67.6,-0.18,0.26,9.77,0.08,0.36,0.11,-0.51,-0.35,-48.15,0.06,-0.08,9.79,0.09,-0.17,-0.14
1782855269.7308702,1.52,1.16,-67.61,-0.19,0.26,9.77,0.05,0.37,0.14,-0.51,-0.35,-48.15,0.06,-0.08,9.8,0.11,-0.2,-0.13
1782855269.8039062,1.52,1.16,-67.61,-0.19,0.26,9.77,0.08,0.38,0.15,-0.51,-0.35,-48.16,0.06,-0.08,9.79,0.06,-0.2,-0.12
1782855269.8791063,1.52,1.16,-67.62,-0.18,0.26,9.76,0.08,0.37,0.14,-0.51,-0.35,-48.16,0.05,-0.08,9.79,0.08,-0.19,-0.11
1782855269.953644,1.52,1.16,-67.62,-0.19,0.26,9.77,0.09,0.37,0.14,-0.51,-0.35,-48.16,0.06,-0.08,9.8,0.07,-0.18,-0.13
1782855270.0264096,1.52,1.16,-67.63,-0.2,0.25,9.77,0.07,0.38,0.16,-0.51,-0.35,-48.16,0.05,-0.07,9.8,0.08,-0.2,-0.14
1782855270.100921,1.52,1.16,-67.63,-0.19,0.26,9.77,0.07,0.35,0.15,-0.51,-0.35,-48.16,0.05,-0.08,9.8,0.11,-0.22,-0.12
1782855270.1748502,1.52,1.16,-67.64,-0.2,0.26,9.77,0.06,0.38,0.12,-0.51,-0.35,-48.16,0.05,-0.08,9.79,0.12,-0.18,-0.13
1782855270.2492082,1.52,1.16,-67.64,-0.19,0.26,9.77,0.07,0.37,0.12,-0.51,-0.35,-48.16,0.06,-0.07,9.79,0.09,-0.19,-0.14
1782855270.322945,1.52,1.16,-67.65,-0.19,0.26,9.77,0.07,0.35,0.14,-0.51,-0.35,-48.16,0.06,-0.08,9.8,0.09,-0.17,-0.12
